A_f,B_f,C_f,D_f,E_f,F_f,G_f,customer_ID
1,1,1,3,1,2,2,10000001
2,0,2,3,1,2,2,10000002
1,0,2,1,0,2,2,10000003
2,0,1,1,1,2,3,10000004
0,0,1,1,0,0,1,10000006
1,0,1,3,0,2,3,10000008
0,1,1,2,0,0,2,10000009
1,0,1,1,0,1,2,10000010
1,0,3,3,0,2,2,10000011
2,0,1,3,0,3,3,10000012
1,1,3,3,1,0,2,10000015
1,1,3,3,1,1,1,10000017
1,1,3,3,1,1,1,10000018
0,1,2,3,0,2,2,10000020
0,1,1,3,0,1,2,10000021
1,1,4,3,1,1,3,10000022
0,0,1,1,0,0,2,10000024
0,0,3,3,0,0,2,10000029
0,0,1,1,0,0,1,10000030
1,1,1,3,1,2,3,10000035
2,1,3,3,1,1,3,10000044
1,1,3,3,1,1,2,10000045
1,0,3,3,0,2,1,10000046
1,0,2,2,0,0,2,10000050
1,1,2,1,1,2,2,10000051
1,1,4,3,0,2,2,10000053
1,1,2,3,0,1,1,10000056
1,1,2,2,1,1,1,10000058
1,0,3,3,0,2,3,10000065
1,0,1,2,0,2,2,10000067
1,0,2,3,0,1,1,10000070
1,0,1,3,0,2,1,10000071
1,0,3,3,0,2,3,10000073
1,0,1,1,0,2,2,10000074
1,1,3,3,0,1,3,10000081
0,0,3,3,0,0,2,10000083
1,0,1,2,1,1,1,10000085
1,0,1,1,1,2,3,10000087
1,0,1,2,0,1,3,10000089
1,0,1,1,0,2,3,10000090
1,0,1,2,0,2,1,10000093
0,0,2,3,0,2,1,10000099
1,1,3,2,1,0,2,10000101
1,0,2,2,1,1,4,10000102
1,1,3,3,1,1,3,10000106
1,1,2,3,0,2,2,10000109
1,1,3,3,1,2,2,10000110
1,1,1,1,0,2,3,10000114
0,0,1,1,0,0,2,10000119
1,1,3,3,1,0,3,10000120
1,0,1,2,0,1,1,10000140
0,1,2,3,0,0,2,10000142
1,1,2,2,1,2,4,10000146
2,0,3,3,0,3,3,10000149
1,1,3,3,1,0,1,10000153
1,0,4,3,1,1,3,10000157
2,1,3,3,1,3,4,10000166
1,0,3,3,0,0,1,10000171
1,0,3,3,1,1,3,10000174
2,0,1,2,0,3,4,10000175
1,0,3,3,0,2,3,10000177
0,0,1,2,0,0,1,10000181
2,0,2,2,0,3,3,10000185
2,1,3,3,1,1,3,10000186
1,1,3,3,0,1,2,10000195
2,1,1,2,0,1,1,10000196
0,0,1,1,0,0,1,10000199
1,1,2,3,0,1,1,10000201
0,0,1,2,0,0,2,10000202
1,1,3,3,0,2,4,10000204
1,1,1,3,1,2,4,10000207
0,0,1,1,0,0,1,10000213
2,0,1,3,0,2,3,10000219
1,1,1,3,1,2,2,10000222
1,0,3,3,0,1,2,10000223
0,0,2,2,0,0,2,10000225
1,1,2,2,1,2,2,10000226
1,0,3,3,0,0,2,10000231
1,0,2,2,0,2,1,10000232
1,1,1,3,1,2,2,10000233
1,0,3,3,0,0,2,10000234
0,0,3,3,0,0,2,10000235
1,0,1,3,1,2,3,10000237
1,1,3,3,0,2,2,10000238
1,1,1,3,1,2,1,10000241
0,0,1,3,0,1,3,10000244
1,0,3,3,0,2,2,10000247
0,0,3,3,0,0,3,10000249
1,0,3,3,1,0,1,10000251
1,1,2,3,1,2,2,10000257
1,0,3,2,0,0,2,10000258
1,1,3,3,1,2,3,10000260
1,0,1,1,0,2,2,10000267
1,0,3,2,1,0,2,10000268
1,0,4,3,0,0,2,10000270
0,0,1,2,0,0,2,10000272
0,0,2,2,0,2,1,10000273
1,1,1,2,1,2,3,10000274
2,0,3,3,0,3,1,10000276
1,0,3,3,0,0,2,10000279
2,0,3,3,0,0,2,10000280
1,1,2,2,1,0,2,10000285
1,1,3,3,1,0,1,10000286
1,0,4,3,0,2,3,10000289
1,1,3,3,1,2,3,10000290
2,0,3,3,1,2,3,10000291
1,1,2,2,0,0,4,10000292
0,1,2,2,0,1,3,10000296
1,1,2,3,1,2,3,10000297
0,0,4,2,0,1,2,10000298
1,0,1,2,0,2,3,10000300
1,0,2,2,0,1,2,10000301
1,0,1,1,0,2,2,10000302
1,1,3,3,1,0,2,10000303
1,1,3,2,1,1,4,10000304
1,1,2,2,1,1,2,10000309
0,0,2,2,0,0,2,10000312
1,1,3,3,1,2,3,10000313
2,0,3,3,0,0,4,10000315
0,1,4,3,0,0,4,10000317
0,0,1,2,0,0,1,10000319
0,0,1,2,0,0,1,10000322
1,1,3,2,1,2,2,10000323
1,1,2,2,1,2,3,10000325
2,0,3,3,0,1,2,10000326
1,1,2,2,1,1,2,10000327
1,1,2,2,1,1,1,10000328
1,1,1,2,1,2,1,10000329
1,0,3,3,0,0,2,10000333
0,0,3,3,0,0,3,10000340
0,0,3,3,0,2,2,10000341
1,0,2,2,0,2,1,10000342
0,0,4,3,0,0,4,10000343
1,1,1,1,1,2,2,10000352
1,0,2,2,0,1,1,10000356
2,0,1,3,1,2,3,10000358
1,1,3,3,1,0,2,10000364
1,1,2,3,1,1,2,10000366
1,0,3,3,0,1,2,10000370
1,1,4,3,0,1,1,10000372
2,0,4,3,0,1,2,10000373
1,1,3,3,0,1,4,10000380
2,1,1,2,0,2,1,10000382
1,1,1,3,1,2,3,10000384
1,0,2,2,0,0,2,10000387
1,0,2,2,1,1,3,10000390
1,1,3,3,1,1,1,10000399
0,0,3,3,0,0,3,10000409
1,0,1,2,1,2,3,10000413
1,0,3,3,1,1,2,10000414
2,1,2,2,1,3,3,10000419
1,1,1,1,1,1,3,10000421
0,0,3,3,0,0,2,10000424
2,0,2,2,0,3,2,10000427
1,0,3,3,1,1,3,10000431
0,0,2,2,0,0,2,10000432
1,0,3,3,0,2,2,10000434
1,1,1,1,1,2,2,10000436
1,0,3,3,0,2,3,10000438
1,0,1,1,0,1,2,10000439
1,1,3,3,0,1,3,10000440
1,1,2,2,1,2,1,10000442
1,0,3,3,1,1,3,10000456
0,0,2,1,0,0,1,10000461
0,0,1,2,0,0,1,10000462
0,0,2,3,0,2,3,10000464
1,1,1,1,0,2,1,10000466
1,1,2,3,1,2,2,10000467
0,0,2,2,0,0,3,10000470
2,1,1,3,1,0,3,10000472
1,1,3,3,0,1,3,10000475
2,0,3,3,0,1,1,10000477
1,0,3,3,0,2,3,10000480
0,0,1,1,0,0,4,10000492
0,1,1,1,0,0,2,10000493
1,1,2,3,1,2,1,10000496
1,0,1,3,0,1,3,10000498
1,1,1,3,1,2,3,10000503
1,1,2,1,1,1,1,10000506
0,0,4,3,0,0,2,10000507
0,0,1,2,0,0,2,10000508
1,1,3,3,0,2,3,10000513
1,1,3,3,1,2,3,10000514
1,1,2,2,1,1,1,10000515
1,1,2,2,0,2,1,10000517
1,0,1,1,0,2,1,10000519
1,1,2,3,1,1,2,10000520
2,0,3,3,0,1,4,10000522
1,0,3,2,1,1,3,10000523
1,0,3,3,1,2,2,10000524
1,1,2,3,1,1,3,10000525
1,1,1,1,1,2,2,10000526
1,0,3,3,0,2,2,10000527
1,1,3,3,1,2,3,10000528
0,0,1,1,0,0,2,10000530
0,0,1,1,0,0,2,10000531
1,0,1,2,0,2,2,10000535
1,1,3,3,1,2,1,10000536
1,1,3,3,1,2,4,10000539
2,1,1,3,1,0,1,10000540
1,1,3,3,1,1,3,10000542
1,0,1,3,1,0,1,10000544
2,0,4,3,0,3,3,10000545
1,0,1,2,1,2,3,10000553
2,1,1,3,1,3,3,10000554
1,0,4,3,1,1,3,10000555
1,0,3,3,0,2,3,10000556
1,0,2,2,0,2,2,10000557
1,1,2,2,0,1,2,10000559
0,0,1,1,0,3,3,10000560
2,1,3,3,0,2,3,10000564
1,1,1,3,1,1,3,10000570
1,0,3,3,1,2,2,10000575
1,1,3,3,1,2,2,10000579
0,0,1,3,0,0,3,10000582
1,1,2,3,1,1,4,10000584
2,1,3,3,1,0,2,10000588
1,0,3,3,0,2,2,10000591
1,1,3,3,1,2,1,10000592
1,0,3,3,0,1,1,10000597
0,0,1,3,0,0,1,10000599
0,0,1,3,0,0,2,10000602
1,1,3,2,1,1,3,10000604
1,1,1,2,1,2,1,10000605
0,0,1,2,0,0,2,10000606
1,0,4,3,1,1,1,10000607
1,0,3,3,0,2,2,10000610
0,0,1,1,0,0,2,10000612
1,0,3,2,0,2,1,10000613
1,1,1,2,1,2,2,10000617
0,0,3,2,0,0,2,10000620
1,1,1,1,1,1,1,10000621
0,1,1,1,0,0,2,10000623
1,0,3,3,1,0,4,10000625
1,0,3,3,1,1,3,10000626
1,1,2,3,0,0,1,10000627
1,1,3,3,1,2,4,10000629
1,1,2,2,0,2,2,10000632
1,1,2,3,1,2,4,10000634
1,0,3,3,1,1,3,10000635
0,0,1,3,0,0,2,10000638
1,0,3,3,1,2,3,10000641
1,0,4,3,0,2,2,10000642
0,0,1,1,0,0,1,10000645
1,0,3,3,1,1,2,10000646
1,0,4,3,0,2,4,10000651
1,1,2,2,1,1,3,10000652
2,1,3,3,1,0,2,10000653
1,0,3,3,0,2,2,10000654
1,1,1,2,1,2,1,10000656
1,1,1,2,1,2,1,10000657
1,0,3,2,0,2,2,10000659
1,1,3,3,1,2,4,10000661
1,0,1,3,1,1,3,10000662
1,0,1,1,0,2,3,10000665
0,0,2,2,0,0,1,10000667
1,0,3,2,0,2,3,10000672
2,0,4,3,0,0,2,10000678
1,1,3,3,1,0,2,10000679
1,0,2,3,0,2,3,10000681
1,1,1,2,1,2,2,10000684
2,0,3,3,0,2,2,10000688
1,1,3,3,1,1,1,10000696
2,1,3,1,1,1,3,10000698
1,1,1,1,0,2,2,10000705
1,1,1,3,0,2,3,10000707
1,1,1,3,1,2,3,10000711
1,0,4,3,1,1,1,10000713
1,0,3,3,0,2,1,10000714
0,0,1,2,0,2,3,10000717
1,1,1,2,1,1,3,10000718
0,0,4,3,0,0,2,10000723
2,0,1,3,1,0,3,10000728
0,0,1,1,0,0,3,10000730
2,1,3,3,0,2,3,10000737
0,1,1,1,0,0,2,10000738
1,0,4,3,0,1,3,10000740
1,0,3,3,1,2,3,10000741
1,1,1,2,1,1,1,10000742
1,1,1,3,1,2,1,10000744
1,0,4,3,0,1,3,10000745
1,0,3,3,1,1,2,10000747
0,0,1,2,0,0,1,10000748
2,0,3,3,0,3,3,10000750
0,0,4,3,0,0,2,10000751
0,0,1,2,0,0,2,10000752
1,1,2,3,1,2,3,10000754
1,1,3,3,1,1,3,10000757
2,1,3,3,1,0,1,10000758
0,0,2,1,0,0,2,10000760
1,1,3,3,1,1,2,10000761
2,0,3,3,0,0,2,10000765
1,1,3,3,1,1,4,10000766
1,0,3,3,1,2,4,10000769
0,0,1,2,0,0,1,10000770
1,1,1,2,1,2,1,10000771
1,0,3,3,0,0,2,10000774
0,0,1,1,0,0,1,10000775
0,0,3,3,0,0,2,10000777
0,1,1,3,0,0,1,10000779
1,1,2,3,1,2,2,10000785
0,1,1,3,0,0,3,10000786
0,0,1,1,0,0,2,10000788
1,1,3,3,1,1,1,10000789
1,1,2,3,1,1,3,10000790
0,0,2,2,0,0,1,10000793
0,0,2,2,0,0,2,10000794
