iter	Accuracy	MultiClass
0	0.8467792854	1.197726409
1	0.8486090172	1.067145202
2	0.8498846754	0.9694162753
3	0.8499233317	0.8941366517
4	0.849961988	0.8335949186
5	0.8501294986	0.7837668527
6	0.8508897393	0.74304183
7	0.8506964578	0.7093388514
8	0.8510443646	0.6805956932
9	0.8523329081	0.6552966921
10	0.8522169392	0.634375763
11	0.8524102207	0.6163312464
12	0.8533122012	0.6009021368
13	0.8533895138	0.5881309376
14	0.853453941	0.5770058118
15	0.8537760769	0.5671677802
16	0.8536085662	0.5588663286
17	0.8538018478	0.5509256048
18	0.854252838	0.5448572904
19	0.85416264	0.5390759925
20	0.8546007448	0.5339536422
21	0.8547811409	0.529610297
22	0.8550259642	0.5257400679
23	0.8550775059	0.521445041
24	0.8556058088	0.518248086
25	0.8559279446	0.5148128623
26	0.8561985388	0.511794864
27	0.8564175912	0.5095608088
28	0.8566108727	0.5073665852
29	0.8566624145	0.5057744598
30	0.8569330086	0.5036462345
31	0.8570876338	0.5018745513
32	0.8571134047	0.4996193482
33	0.8574097697	0.4980710759
34	0.8574097697	0.4968106963
35	0.8574097697	0.4949906779
36	0.8576159367	0.4936217991
37	0.8575515095	0.4926426476
38	0.8576159367	0.4917295393
39	0.8577447911	0.4911872977
40	0.8577834474	0.4899497608
41	0.8579380726	0.4883706654
42	0.858066927	0.4872253081
43	0.8581055833	0.4864965606
44	0.8583890628	0.4855411553
45	0.8591364181	0.4842248846
46	0.859252387	0.4836345219
47	0.8595358666	0.4828978809
48	0.8599482005	0.482178797
49	0.8598580025	0.4815658186
50	0.8598708879	0.4811850476
51	0.8598193462	0.4805628288
52	0.8599095442	0.4802087827
53	0.8598322316	0.4796111509
54	0.8601028258	0.4787200649
55	0.8602059093	0.4781926117
56	0.8602187947	0.4776446742
57	0.8602445656	0.4772195879
58	0.8602187947	0.4766604841
59	0.8603991908	0.476196638
60	0.8604120762	0.4758657214
61	0.8605022743	0.4754129431
62	0.8606311286	0.4748979364
63	0.8605409306	0.4742058378
64	0.8605795869	0.4738549242
65	0.8608888373	0.473166016
66	0.8610821189	0.4726976403
67	0.8611852024	0.4723893378
68	0.8612754004	0.4720018604
69	0.8615846509	0.4710890898
70	0.8616233072	0.4708312439
71	0.8618037033	0.4704054797
72	0.8620098702	0.4700554677
73	0.8620227557	0.4697226708
74	0.8621129537	0.4694264972
75	0.8621644955	0.4690910489
76	0.8621387246	0.4687594939
77	0.8622160372	0.4681012408
78	0.862267579	0.4679251511
79	0.862357777	0.4676026302
80	0.8622418081	0.4673202157
81	0.862357777	0.4669821148
82	0.8625381731	0.4666765503
83	0.8626026003	0.4663947073
84	0.8626412566	0.4659450397
85	0.8626026003	0.4657726235
86	0.8629118507	0.4650973741
87	0.863066476	0.4648303763
88	0.8631695594	0.4646216346
89	0.8631824449	0.4643722443
90	0.8631051323	0.4641353219
91	0.8631695594	0.4637604675
92	0.8632339866	0.4635444496
93	0.8632211012	0.4633244709
94	0.8631824449	0.4630354296
95	0.8632984138	0.4628580524
96	0.8632597575	0.4626779763
97	0.8632597575	0.4625392914
98	0.8632855284	0.46238553
99	0.8633112992	0.4621917579
100	0.8635818934	0.4617980351
101	0.8636076643	0.4616499666
102	0.8637880604	0.4611406502
103	0.8638524875	0.4610239682
104	0.8639298001	0.4607072835
105	0.8639684565	0.4603648924
106	0.8639684565	0.4601374804
107	0.8640973108	0.4600252966
108	0.8642261652	0.4597361364
109	0.8642648215	0.4594627155
110	0.8643034778	0.4592882946
111	0.864367905	0.459074567
112	0.8644065613	0.4589005619
113	0.8644323321	0.458721519
114	0.8643936758	0.458528726
115	0.8644194467	0.4584152486
116	0.8646127282	0.4581459511
117	0.8645998428	0.4579627292
118	0.8648060098	0.4575163916
119	0.8648317806	0.4572411013
120	0.8650894894	0.4570015888
121	0.8650637185	0.4569035316
122	0.8651539165	0.456698522
123	0.8653085418	0.4562507737
124	0.8653214272	0.4560223173
125	0.8653600835	0.4557289113
126	0.865463167	0.4554187047
127	0.8655791359	0.4552563927
128	0.8655791359	0.4550904929
129	0.8655404796	0.4549397805
130	0.8655791359	0.4547874311
131	0.8655920213	0.4546396896
132	0.8656435631	0.4545688239
133	0.8656822194	0.4544691035
134	0.8656822194	0.4542624479
135	0.8656306776	0.4540450413
136	0.8656306776	0.4538162384
137	0.865669334	0.4534756054
138	0.8656564485	0.4532333018
139	0.8657079903	0.4529753281
140	0.8657981883	0.4528739962
141	0.8657337611	0.4526266689
142	0.8658239592	0.4524513527
143	0.8658239592	0.4522759535
144	0.8659012718	0.4521372329
145	0.8659012718	0.4520112935
146	0.8659270427	0.4517248613
147	0.8659785844	0.4516081494
148	0.8660301261	0.4514406577
149	0.8661074388	0.4512655835
150	0.8661074388	0.4510774713
151	0.8661589805	0.4510141253
152	0.8662234077	0.4509344941
153	0.8662491786	0.4507813679
154	0.8663136057	0.4504763213
155	0.8663393766	0.4503120282
156	0.8663264912	0.4502312475
157	0.8663136057	0.4501452752
158	0.8664038038	0.4499964557
159	0.8663393766	0.4497355779
160	0.866352262	0.4495849181
161	0.866352262	0.4493488469
162	0.8663651475	0.4492425848
163	0.8663651475	0.4490885345
164	0.8663393766	0.4489090417
165	0.8664295747	0.4486807079
166	0.866468231	0.4485856706
167	0.8665326581	0.4483846763
168	0.8665326581	0.4482968252
169	0.8665841999	0.44808541
170	0.8666486271	0.4479778189
171	0.8667388251	0.4478990242
172	0.8667130542	0.4477501241
173	0.8668032523	0.4474964636
174	0.8668161377	0.4473931717
175	0.8668419086	0.4472681752
176	0.8669578775	0.447012226
177	0.8669836484	0.4469498728
178	0.8669836484	0.4468494854
179	0.8670094193	0.4467574828
180	0.867060961	0.4466297648
181	0.8670480756	0.4465260244
182	0.8670094193	0.4463521288
183	0.8669965338	0.4462459329
184	0.867060961	0.4460946232
185	0.8670996173	0.4459795946
186	0.8671382736	0.4458116627
187	0.8671640445	0.4456853525
188	0.8671898154	0.4454932359
189	0.8672155862	0.4454158199
190	0.8671253882	0.4452603041
191	0.8671125027	0.4451145246
192	0.8670996173	0.4449931809
193	0.867151159	0.4448703398
194	0.8671640445	0.4446954913
195	0.8672027008	0.4445797749
196	0.8672413571	0.4444132881
197	0.867267128	0.4442406921
198	0.867267128	0.4441236168
199	0.8672542425	0.4440633246
200	0.8672284717	0.4438989034
201	0.8671769299	0.4438073717
202	0.8671898154	0.4436756301
203	0.8672800134	0.4435539174
204	0.8673186697	0.4434394518
205	0.8673057843	0.4432999454
206	0.8673315551	0.44322568
207	0.8673057843	0.4431467922
208	0.8673702114	0.4429791545
209	0.8673444406	0.442873266
210	0.8674475241	0.4427365256
211	0.8673959823	0.4424755317
212	0.8674732949	0.4423703874
213	0.8675119512	0.4422903055
214	0.8674990658	0.4422190725
215	0.8674732949	0.4421169805
216	0.8675119512	0.4420375966
217	0.8674475241	0.4419091434
218	0.8675377221	0.4417471912
219	0.8674732949	0.4416040028
220	0.8675248367	0.4414339996
221	0.8675248367	0.4412901294
222	0.8675248367	0.4411922097
223	0.8675763784	0.4410887565
224	0.8675763784	0.4410111371
225	0.8676279202	0.440918644
