iter	Passed	Remaining
0	19	5898
1	38	5763
2	57	5725
3	75	5560
4	91	5409
5	110	5405
6	128	5382
7	147	5378
8	165	5353
9	184	5339
10	202	5327
11	221	5313
12	238	5271
13	256	5241
14	275	5236
15	294	5226
16	313	5220
17	332	5209
18	350	5180
19	368	5163
20	386	5128
21	404	5107
22	434	5236
23	454	5229
24	472	5194
25	490	5167
26	508	5144
27	526	5115
28	545	5097
29	577	5193
30	595	5170
31	615	5150
32	633	5128
33	650	5092
34	668	5061
35	686	5032
36	704	5009
37	722	4981
38	739	4952
39	757	4920
40	775	4900
41	795	4886
42	813	4860
43	833	4848
44	850	4821
45	868	4795
46	885	4767
47	902	4737
48	920	4713
49	938	4692
50	957	4675
51	975	4653
52	992	4626
53	1011	4606
54	1028	4581
55	1047	4562
56	1064	4536
57	1080	4510
58	1098	4485
59	1116	4464
60	1131	4434
61	1147	4405
62	1177	4430
63	1195	4406
64	1213	4385
65	1230	4363
66	1248	4342
67	1267	4324
68	1284	4300
69	1305	4289
70	1323	4269
71	1341	4249
72	1359	4228
73	1375	4201
74	1395	4185
75	1412	4162
76	1431	4144
77	1449	4126
78	1468	4107
79	1485	4085
80	1502	4063
81	1520	4042
82	1538	4022
83	1556	4001
84	1573	3980
85	1591	3961
86	1609	3941
87	1626	3918
88	1642	3894
89	1659	3872
90	1676	3849
91	1693	3828
92	1709	3804
93	1725	3780
94	1744	3763
95	1761	3743
96	1779	3725
97	1796	3702
98	1814	3684
99	1831	3662
100	1847	3639
101	1864	3620
102	1885	3606
103	1901	3582
104	1917	3561
105	1934	3540
106	1952	3521
107	1968	3498
108	1984	3477
109	2003	3459
110	2020	3440
111	2037	3420
112	2054	3400
113	2071	3379
114	2086	3356
115	2102	3334
116	2118	3313
117	2134	3292
118	2152	3273
119	2171	3256
120	2187	3235
121	2202	3214
122	2219	3194
123	2237	3175
124	2254	3156
125	2274	3140
126	2291	3122
127	2309	3102
128	2325	3082
129	2343	3064
130	2360	3045
131	2377	3025
132	2391	3003
133	2407	2982
134	2424	2962
135	2443	2946
136	2461	2928
137	2478	2909
138	2496	2892
139	2515	2874
140	2531	2855
141	2552	2839
142	2569	2821
143	2586	2802
144	2602	2782
145	2618	2761
146	2634	2742
147	2651	2722
148	2668	2704
149	2685	2685
150	2704	2668
151	2718	2647
152	2735	2628
153	2751	2608
154	2769	2590
155	2786	2571
156	2803	2553
157	2822	2536
158	2838	2517
159	2857	2500
160	2875	2482
161	2892	2464
162	2908	2444
163	2925	2426
164	2942	2407
165	2959	2389
166	2974	2369
167	2993	2352
168	3009	2332
169	3025	2313
170	3041	2294
171	3058	2275
172	3075	2257
173	3094	2241
174	3111	2222
175	3128	2204
176	3146	2186
177	3162	2167
178	3180	2149
179	3196	2131
180	3214	2113
181	3232	2095
182	3249	2077
183	3267	2060
184	3285	2042
185	3304	2025
186	3321	2007
187	3338	1989
188	3355	1970
189	3370	1951
190	3388	1933
191	3403	1914
192	3418	1895
193	3436	1877
194	3452	1859
195	3469	1840
196	3486	1822
197	3502	1804
198	3519	1786
199	3533	1766
200	3552	1749
201	3567	1730
202	3584	1712
203	3605	1696
204	3621	1678
205	3637	1659
206	3654	1642
207	3670	1623
208	3688	1605
209	3704	1587
210	3720	1569
211	3737	1551
212	3754	1533
213	3771	1515
214	3786	1497
215	3802	1478
216	3818	1460
217	3834	1442
218	3852	1425
219	3869	1407
220	3885	1388
221	3902	1371
222	3919	1353
223	3935	1335
224	3951	1317
225	3967	1299
226	3984	1281
227	4001	1263
228	4015	1245
229	4034	1227
230	4051	1210
231	4068	1192
232	4085	1174
233	4101	1156
234	4118	1139
235	4134	1121
236	4152	1103
237	4168	1086
238	4187	1068
239	4204	1051
240	4220	1033
241	4236	1015
242	4256	998
243	4273	980
244	4290	963
245	4305	945
246	4322	927
247	4338	909
248	4356	892
249	4375	875
250	4392	857
251	4408	839
252	4426	822
253	4442	804
254	4457	786
255	4476	769
256	4493	751
257	4511	734
258	4530	717
259	4544	699
260	4562	681
261	4577	663
262	4595	646
263	4610	628
264	4626	611
265	4643	593
266	4660	576
267	4676	558
268	4692	540
269	4707	523
270	4724	505
271	4740	488
272	4758	470
273	4775	453
274	4790	435
275	4808	418
276	4825	400
277	4841	383
278	4859	365
279	4875	348
280	4891	330
281	4908	313
282	4926	295
283	4944	278
284	4962	261
285	4978	243
286	4996	226
287	5012	208
288	5027	191
289	5043	173
290	5060	156
291	5077	139
292	5094	121
293	5113	104
294	5131	86
295	5149	69
296	5167	52
297	5185	34
298	5201	17
299	5216	0
